MJD        Tel      Filt VMag   ABMag   Emag Ref
58289.2229 UVOT     UVW1  12.03  13.55  0.03 
58289.2246 UVOT     UVU   12.90  13.92  0.05 
58289.2263 UVOT     UVB   14.29  14.14  0.04 
58289.2281 UVOT     UVW2  11.75  13.58  0.03 
58289.2298 UVOT     UVV   14.27  14.25  0.04 
58289.2331 UVOT     UVM2  11.94  13.63  0.05 
58289.3493 P60      r     14.34  14.34  0.03 
58289.6299 HFOSC    R     14.50  14.67  0.03 
58289.6336 HFOSC    I     14.56  15.00  0.03 
58289.6365 HFOSC    V     14.39  14.37  0.03 
58289.6397 HFOSC    B     14.53  14.39  0.03 
58289.6434 HFOSC    U     13.55  14.24  0.03 
58289.9081 IOI      H     14.28  15.66  0.03 
58289.9131 IOO      z     15.17  15.15  0.03 
58289.9136 IOO      i     14.99  14.99  0.03 
58289.9142 IOO      r     14.62  14.62  0.03 
58289.9147 IOO      g     14.48  14.48  0.03 
58289.9154 IOO      u     14.26  14.31  0.03 
58290.1050 IOO      B     14.75  14.61  0.03 
58290.1061 IOO      V     14.57  14.55  0.03 
58290.1071 IOO      r     14.69  14.69  0.03 
58290.1082 IOO      g     14.57  14.57  0.03 
58290.1093 IOO      i     15.01  15.01  0.03 
58290.1338 ANDICAM  B     14.68  14.54  0.09 
58290.1395 ANDICAM  I     14.63  15.07  0.09 
58290.1451 ANDICAM  H     14.38  15.76  0.03 
58290.1453 ANDICAM  R     14.60  14.77  0.09 
58290.1508 ANDICAM  J     14.61  15.50  0.03 
58290.1510 ANDICAM  V     14.60  14.58  0.07 
58290.1958 P60      r     14.71  14.71  0.03 
58290.2162 KPED     r     14.71  14.71  0.05 
58290.2189 KPED     g     14.63  14.63  0.06 
58290.2190 MLO      R     14.60  14.77  0.04 
58290.2243 MLO      U     13.74  14.43  0.07 
58290.2267 KPED     U     13.77  14.46  0.06 
58290.2271 MLO      B     14.77  14.63  0.05 
58290.2304 MLO      V     14.58  14.57  0.05 
58290.2335 MLO      I     14.66  15.10  0.04 
58290.2922 KPED     g     14.70  14.70  0.07 
58290.2942 KPED     r     14.79  14.79  0.04 
58290.4000 P200     J     14.80  15.70  0.03 
58290.4000 P200     Ks    14.23  16.07  0.03 
58290.4893 UVOT     UVM2  12.64  14.34  0.05 
58290.5041 UVOT     UVW2  12.38  14.22  0.06 
58290.6549 HFOSC    R     14.89  15.06  0.03 
58290.6579 HFOSC    I     14.89  15.33  0.03 
58290.6613 HFOSC    V     14.83  14.81  0.03 
58290.6652 HFOSC    B     15.02  14.88  0.03 
58290.6697 HFOSC    U     13.94  14.63  0.03 
58290.6932 UVOT     UVW1  12.65  14.18  0.03 
58290.6950 UVOT     UVU   13.49  14.52  0.05 
58290.6967 UVOT     UVB   15.04  14.89  0.04 
58290.6984 UVOT     UVW2  12.45  14.29  0.03 
58290.7001 UVOT     UVV   14.91  14.88  0.05 
58290.7609 SLT      r     15.11  15.11  0.15 
58290.7613 SLT      i     15.30  15.30  0.12 
58290.7618 SLT      V     14.92  14.90  0.03 
58290.8954 IOI      H     14.84  16.22  0.03 
58290.9013 IOO      z     15.50  15.48  0.03 
58290.9018 IOO      i     15.31  15.31  0.03 
58290.9024 IOO      r     15.05  15.05  0.03 
58290.9029 IOO      g     14.94  14.94  0.03 
58290.9036 IOO      u     14.61  14.66  0.03 
58291.0128 IOO      B     15.16  15.02  0.03 
58291.0133 IOO      V     15.00  14.98  0.03 
58291.0139 IOO      r     15.10  15.10  0.03 
58291.0145 IOO      g     14.99  14.99  0.03 
58291.0151 IOO      i     15.35  15.35  0.03 
58291.1422 ANDICAM  B     15.16  15.02  0.05 
58291.1479 ANDICAM  I     14.96  15.40  0.08 
58291.1535 ANDICAM  H     14.95  16.33  0.06 
58291.1537 ANDICAM  R     15.02  15.19  0.07 
58291.1592 ANDICAM  J     15.18  16.07  0.03 
58291.1594 ANDICAM  V     15.06  15.05  0.07 
58291.1742 KPED     g     15.09  15.09  0.06 
58291.1749 KPED     r     15.17  15.17  0.05 
58291.1809 KPED     U     14.14  14.83  0.09 
58291.1955 MLO      R     15.02  15.19  0.05 
58291.2016 MLO      U     14.09  14.78  0.03 
58291.2084 MLO      B     15.14  15.00  0.06 
58291.2159 MLO      V     15.01  14.99  0.03 
58291.2226 MLO      I     15.02  15.46  0.03 
58291.2231 P60      r     15.13  15.13  0.03 
58291.2738 P48      r     15.16  15.16  0.04 ZTF
58291.5574 UVOT     UVW1  12.96  14.48  0.05 
58291.6946 UVOT     UVU   13.76  14.78  0.05 
58291.6963 UVOT     UVB   15.34  15.19  0.04 
58291.6981 UVOT     UVW2  12.77  14.61  0.03 
58291.6998 UVOT     UVV   15.25  15.23  0.05 
58291.7050 UVOT     UVM2  12.97  14.66  0.05 
58291.9193 IOI      H     15.05  16.43  0.03 
58291.9243 IOO      z     15.68  15.66  0.03 
58291.9253 IOO      i     15.51  15.51  0.03 
58291.9264 IOO      r     15.33  15.33  0.03 
58291.9275 IOO      g     15.20  15.20  0.03 
58291.9287 IOO      u     14.89  14.94  0.03 
58292.0204 IOO      B     15.37  15.23  0.03 
58292.0210 IOO      V     15.25  15.23  0.03 
58292.0216 IOO      r     15.36  15.36  0.03 
58292.0222 IOO      g     15.22  15.22  0.03 
58292.0228 IOO      i     15.55  15.55  0.03 
58292.0809 UVOT     UVU   13.86  14.88  0.05 
58292.0926 UVOT     UVW2  12.88  14.72  0.07 
58292.1440 ANDICAM  B     15.34  15.20  0.06 
58292.1497 ANDICAM  I     15.17  15.61  0.07 
58292.1555 ANDICAM  R     15.33  15.50  0.06 
58292.1568 ANDICAM  J     15.39  16.28  0.03 
58292.1612 ANDICAM  V     15.28  15.26  0.07 
58292.1668 ANDICAM  H     15.21  16.59  0.05 
58292.1807 P60      r     15.41  15.41  0.03 
58292.1866 KPED     g     15.22  15.22  0.04 
58292.1866 KPED     r     15.39  15.39  0.03 
58292.1962 KPED     U     14.34  15.03  0.03 
58292.2472 RATIR    i     15.59  15.59  0.03 
58292.2473 RATIR    g     15.28  15.28  0.03 
58292.2477 RATIR    r     15.41  15.41  0.03 
58292.2497 MLO      I     15.25  15.69  0.06 
58292.2498 RATIR    u     15.03  15.08  0.03 
58292.2565 MLO      R     15.32  15.49  0.05 
58292.2634 MLO      V     15.30  15.28  0.03 
58292.2702 MLO      B     15.37  15.23  0.03 
58292.2769 MLO      U     14.27  14.96  0.10 
58292.2795 UVOT     UVW1  13.25  14.77  0.03 
58292.2812 UVOT     UVU   13.90  14.92  0.05 
58292.2829 UVOT     UVB   15.49  15.34  0.05 
58292.2864 UVOT     UVV   15.40  15.37  0.06 
58292.2920 UVOT     UVM2  13.33  15.02  0.05 
58292.3452 RATIR    i     15.60  15.60  0.03 
58292.3457 RATIR    r     15.43  15.43  0.03 
58292.3556 RATIR    u     15.05  15.10  0.03 
58292.3556 RATIR    g     15.29  15.29  0.03 
58292.4257 RATIR    u     15.03  15.08  0.03 
58292.9388 IOI      H     15.19  16.57  0.03 
58292.9438 IOO      z     15.82  15.80  0.03 
58292.9448 IOO      i     15.68  15.68  0.03 
58292.9459 IOO      r     15.53  15.53  0.03 
58292.9470 IOO      g     15.39  15.39  0.03 
58292.9482 IOO      u     15.13  15.18  0.03 
58293.0538 IOO      B     15.54  15.40  0.03 
58293.0544 IOO      V     15.46  15.44  0.03 
58293.0549 IOO      r     15.54  15.54  0.03 
58293.0555 IOO      g     15.40  15.40  0.03 
58293.0561 IOO      i     15.70  15.70  0.03 
58293.1808 P60      r     15.53  15.53  0.03 
58293.1899 MLO      I     15.37  15.81  0.03 
58293.1899 MLO      U     14.46  15.15  0.03 
58293.1915 MLO      B     15.57  15.43  0.05 
58293.1917 MLO      V     15.51  15.49  0.06 
58293.1996 MLO      R     15.47  15.64  0.05 
58293.2117 P60      r     15.58  15.58  0.03 
58293.2440 P60      r     15.61  15.61  0.03 
58293.2461 P60      g     15.46  15.46  0.03 
58293.2481 P60      i     15.69  15.69  0.03 
58293.2498 RATIR    r     15.60  15.60  0.03 
58293.2519 RATIR    u     15.24  15.29  0.03 
58293.2523 P60      u     15.25  15.30  0.04 
58293.2696 RATIR    i     15.74  15.74  0.03 
58293.2697 RATIR    g     15.45  15.45  0.03 
58293.3617 RATIR    r     15.62  15.62  0.03 
58293.3711 RATIR    u     15.28  15.33  0.08 
58293.3782 RATIR    i     15.73  15.73  0.03 
58293.6751 UVOT     UVW2  13.39  15.22  0.06 
58293.7243 HFOSC    R     15.57  15.74  0.03 
58293.7270 HFOSC    I     15.40  15.84  0.03 
58293.7301 HFOSC    V     15.60  15.58  0.03 
58293.7348 HFOSC    B     15.68  15.54  0.03 
58293.7421 HFOSC    U     14.63  15.32  0.03 
58293.8105 UVOT     UVW1  13.64  15.17  0.05 
58293.8125 UVOT     UVU   14.32  15.34  0.05 
58293.8138 UVOT     UVB   15.80  15.65  0.05 
58293.8141 UVOT     UVW2  13.46  15.30  0.08 
58293.9202 IOI      H     15.19  16.57  0.03 
58293.9250 IOO      z     15.96  15.93  0.03 
58293.9261 IOO      i     15.84  15.84  0.03 
58293.9272 IOO      r     15.72  15.72  0.03 
58293.9283 IOO      g     15.60  15.60  0.03 
58293.9295 IOO      u     15.34  15.39  0.03 
58293.9304 IOO      V     15.65  15.63  0.03 
58294.1301 ANDICAM  B     15.74  15.60  0.10 
58294.1411 ANDICAM  I     15.42  15.86  0.05 
58294.1520 ANDICAM  R     15.59  15.76  0.06 
58294.1625 ANDICAM  J     15.44  16.33  0.03 
58294.1630 ANDICAM  V     15.74  15.72  0.03 
58294.1680 KPED     g     15.67  15.67  0.03 
58294.1727 KPED     r     15.77  15.77  0.03 
58294.1806 KPED     U     14.73  15.42  0.06 
58294.1809 P60      r     15.70  15.70  0.03 
58294.2022 MLO      R     15.64  15.81  0.04 
58294.2042 RATIR    i     15.89  15.89  0.03 
58294.2042 RATIR    g     15.67  15.67  0.03 
58294.2046 RATIR    r     15.77  15.77  0.03 
58294.2072 RATIR    u     15.43  15.48  0.05 
58294.2104 MLO      V     15.72  15.70  0.04 
58294.2132 P60      r     15.78  15.78  0.03 
58294.2153 P60      g     15.69  15.69  0.04 
58294.2174 P60      i     15.89  15.89  0.03 
58294.2215 P60      u     15.43  15.48  0.06 
58294.2318 MLO      B     15.79  15.65  0.05 
58294.2411 MLO      I     15.54  15.97  0.04 
58294.3078 P48      r     15.81  15.81  0.03 ZTF
58294.6006 UVOT     UVW2  13.96  15.80  0.12 
58294.6096 UVOT     UVW1  14.02  15.54  0.05 
58294.6112 UVOT     UVU   14.54  15.56  0.05 
58294.6123 UVOT     UVB   16.01  15.86  0.05 
58294.6150 UVOT     UVM2  13.97  15.66  0.11 
58294.6177 UVOT     UVV   15.97  15.94  0.07 
58294.6366 HFOSC    R     15.82  15.99  0.03 
58294.6394 HFOSC    I     15.60  16.04  0.03 
58294.6422 HFOSC    V     15.85  15.83  0.03 
58294.6455 HFOSC    B     15.90  15.76  0.03 
58294.6498 HFOSC    U     14.92  15.61  0.03 
58294.8944 IOI      H     15.49  16.87  0.03 
58294.9011 IOO      i     16.09  16.09  0.03 
58294.9021 IOO      r     15.98  15.98  0.03 
58294.9032 IOO      g     15.86  15.86  0.03 
58294.9044 IOO      u     15.63  15.68  0.07 
58294.9053 IOO      V     15.94  15.92  0.03 
58295.1518 KPED     g     15.93  15.93  0.03 
58295.1535 KPED     r     16.07  16.07  0.03 
58295.1599 KPED     U     15.00  15.69  0.05 
58295.1977 RATIR    i     16.15  16.15  0.03 
58295.1978 RATIR    g     15.94  15.94  0.03 
58295.1982 RATIR    r     16.07  16.07  0.03 
58295.2003 RATIR    u     15.66  15.71  0.04 
58295.2131 MLO      R     15.92  16.09  0.04 
58295.2162 MLO      I     15.78  16.22  0.04 
58295.2193 MLO      U     14.99  15.68  0.03 
58295.2224 MLO      B     16.03  15.89  0.03 
58295.2248 MLO      V     15.97  15.96  0.04 
58295.5787 UVOT     UVW1  14.14  15.66  0.06 
58295.6022 UVOT     UVW2  14.05  15.89  0.12 
58295.6128 UVOT     UVU   14.68  15.70  0.06 
58295.6134 UVOT     UVB   16.00  15.85  0.06 
58295.6164 UVOT     UVV   16.16  16.13  0.10 
58295.6177 UVOT     UVM2  14.02  15.71  0.06 
58295.9091 IOI      H     15.59  16.97  0.03 
58295.9141 IOO      z     16.34  16.32  0.03 
58295.9152 IOO      i     16.27  16.27  0.03 
58295.9163 IOO      r     16.17  16.17  0.03 
58295.9173 IOO      g     16.04  16.04  0.03 
58295.9185 IOO      u     15.82  15.87  0.03 
58295.9195 IOO      V     16.10  16.08  0.03 
58296.1643 KPED     g     16.10  16.10  0.03 
58296.1660 KPED     r     16.25  16.25  0.03 
58296.1735 KPED     U     15.20  15.89  0.03 
58296.2188 RATIR    r     16.27  16.27  0.03 
58296.2207 RATIR    u     15.85  15.90  0.03 
58296.2300 RATIR    g     16.10  16.10  0.03 
58296.2301 RATIR    i     16.33  16.33  0.03 
58296.3600 MLO      U     15.18  15.87  0.09 
58296.3625 MLO      B     16.17  16.03  0.07 
58296.3650 MLO      V     16.19  16.17  0.03 
58296.3674 MLO      R     16.12  16.29  0.03 
58296.3698 MLO      I     15.94  16.38  0.05 
58296.5382 UVOT     UVU   14.86  15.88  0.05 
58296.5509 UVOT     UVW2  14.24  16.07  0.08 
58296.6646 LOT      B     16.24  16.10  0.05 
58296.6677 LOT      V     16.21  16.19  0.04 
58296.6742 UVOT     UVU   14.85  15.87  0.05 
58296.6755 UVOT     UVW1  14.37  15.89  0.05 
58296.6779 UVOT     UVB   16.24  16.09  0.05 
58296.6803 UVOT     UVW2  14.36  16.20  0.07 
58296.6816 LOT      g     16.13  16.13  0.05 
58296.6827 UVOT     UVV   16.25  16.22  0.08 
58296.6840 LOT      r     16.31  16.31  0.03 
58296.6846 UVOT     UVM2  14.30  15.99  0.06 
58296.6865 LOT      i     16.38  16.38  0.03 
58296.7134 HFOSC    I     15.98  16.42  0.03 
58296.7323 HFOSC    V     16.23  16.21  0.03 
58296.7364 HFOSC    B     16.22  16.08  0.03 
58296.7452 HFOSC    U     15.22  15.91  0.03 
58296.8916 IOI      H     15.58  16.96  0.03 
58296.8968 IOO      z     16.45  16.43  0.03 
58296.8979 IOO      i     16.40  16.40  0.03 
58296.8990 IOO      r     16.32  16.32  0.03 
58296.9001 IOO      g     16.15  16.15  0.03 
58296.9013 IOO      u     15.94  15.99  0.03 
58296.9022 IOO      V     16.25  16.23  0.03 
58296.9028 IOO      B     16.24  16.10  0.03 
58297.2033 MLO      I     16.04  16.48  0.04 
58297.2064 MLO      U     15.24  15.93  0.03 
58297.2096 MLO      B     16.25  16.11  0.03 
58297.2120 MLO      V     16.25  16.24  0.03 
58297.2143 MLO      R     16.24  16.41  0.04 
58297.2440 P60      r     16.32  16.32  0.03 
58297.2764 P60      r     16.34  16.34  0.03 
58297.2785 P60      g     16.26  16.26  0.03 
58297.2805 P60      i     16.47  16.47  0.03 
58297.2847 P60      u     15.99  16.04  0.08 
58297.2934 P48      r     16.36  16.36  0.04 ZTF
58297.5386 UVOT     UVW2  14.46  16.30  0.07 
58297.6294 LOT      B     16.31  16.17  0.05 
58297.6325 LOT      V     16.30  16.28  0.03 
58297.6351 LOT      g     16.23  16.23  0.05 
58297.6375 LOT      r     16.43  16.43  0.03 
58297.6401 LOT      i     16.49  16.49  0.03 
58297.7977 UVOT     UVW2  14.41  16.25  0.07 
58297.8872 IOI      H     15.70  17.08  0.03 
58297.8918 IOO      z     16.54  16.52  0.03 
58297.8924 IOO      i     16.50  16.50  0.03 
58297.8931 IOO      r     16.42  16.42  0.03 
58297.8937 IOO      g     16.23  16.23  0.03 
58297.8946 IOO      u     16.02  16.07  0.05 
58297.8956 IOO      V     16.35  16.33  0.03 
58297.8962 IOO      B     16.34  16.20  0.03 
58298.1640 RATIR    i     16.53  16.53  0.03 
58298.1642 RATIR    g     16.27  16.27  0.03 
58298.1646 RATIR    r     16.43  16.43  0.03 
58298.1666 RATIR    u     16.13  16.18  0.03 
58298.1934 UVOT     UVM2  14.53  16.22  0.06 
58298.2064 UVOT     UVW2  14.44  16.28  0.08 
58298.3932 UVOT     UVW1  14.55  16.07  0.05 
58298.3953 UVOT     UVU   14.96  15.99  0.05 
58298.3967 UVOT     UVB   16.35  16.20  0.05 
58298.4001 UVOT     UVW2  14.52  16.35  0.07 
58298.4011 UVOT     UVM2  14.64  16.33  0.06 
58298.4035 UVOT     UVV   16.47  16.44  0.08 
58298.6297 SLT      B     16.36  16.22  0.03 
58298.6327 SLT      V     16.40  16.38  0.03 
58298.6350 SLT      R     16.24  16.41  0.03 
58298.6374 SLT      r     16.50  16.50  0.03 
58298.6397 SLT      i     16.58  16.58  0.03 
58298.7720 HFOSC    R     16.38  16.55  0.03 
58298.7778 HFOSC    I     16.15  16.59  0.03 
58298.7839 HFOSC    V     16.43  16.41  0.03 
58298.7885 HFOSC    B     16.41  16.27  0.03 
58298.7939 HFOSC    U     15.38  16.07  0.03 
58298.8973 IOI      H     15.78  17.16  0.03 
58298.9022 IOO      z     16.64  16.62  0.03 
58298.9028 IOO      i     16.59  16.59  0.03 
58298.9034 IOO      r     16.52  16.52  0.03 
58298.9040 IOO      g     16.31  16.31  0.03 
58298.9050 IOO      u     16.10  16.15  0.04 
58298.9059 IOO      V     16.44  16.42  0.03 
58298.9066 IOO      B     16.41  16.27  0.03 
58299.1624 KPED     g     16.34  16.34  0.05 
58299.1640 KPED     r     16.55  16.55  0.04 
58299.1663 RATIR    i     16.66  16.66  0.03 
58299.1664 RATIR    g     16.35  16.35  0.03 
58299.1670 RATIR    r     16.60  16.60  0.03 
58299.1750 WIRC     J     16.16  17.06  0.03 
58299.1810 WIRC     H     15.87  17.25  0.03 
58299.1879 WIRC     Ks    15.48  17.32  0.03 
58299.2012 P60      r     16.61  16.61  0.03 
58299.2112 P60      r     16.57  16.57  0.03 
58299.2429 P60      r     16.53  16.53  0.03 
58299.2450 P60      g     16.37  16.37  0.03 
58299.2471 P60      i     16.63  16.63  0.03 
58299.2512 P60      u     16.17  16.22  0.03 
58299.5198 UVOT     UVW1  14.76  16.29  0.06 
58299.7181 HFOSC    R     16.55  16.72  0.03 
58299.7205 UVOT     UVW1  14.80  16.32  0.05 
58299.7236 UVOT     UVU   15.14  16.17  0.05 
58299.7282 UVOT     UVW2  14.79  16.62  0.07 
58299.7341 UVOT     UVM2  14.89  16.58  0.06 
58299.7366 HFOSC    V     16.57  16.55  0.03 
58299.7430 HFOSC    B     16.55  16.41  0.03 
58299.7504 HFOSC    U     15.55  16.24  0.03 
58299.7549 HFOSC    I     16.33  16.77  0.03 
58299.8863 IOI      H     16.03  17.41  0.03 
58299.8912 IOO      z     16.79  16.77  0.03 
58299.8925 IOO      r     16.70  16.70  0.03 
58299.8931 IOO      g     16.50  16.50  0.03 
58299.8940 IOO      u     16.30  16.35  0.03 
58299.8950 IOO      V     16.58  16.56  0.03 
58299.8957 IOO      B     16.58  16.44  0.03 
58300.1576 KPED     g     16.53  16.53  0.03 
58300.1593 KPED     r     16.74  16.74  0.03 
58300.1599 WIRC     Ks    15.65  17.49  0.03 
58300.1689 KPED     U     15.59  16.28  0.03 
58300.1700 WIRC     H     16.03  17.41  0.03 
58300.1788 WIRC     J     16.35  17.25  0.03 
58300.1795 P60      r     16.74  16.74  0.03 
58300.2021 RATIR    i     16.85  16.85  0.03 
58300.2022 RATIR    g     16.53  16.53  0.03 
58300.2026 RATIR    r     16.76  16.76  0.03 
58300.2047 RATIR    u     16.25  16.30  0.03 
58300.3234 RATIR    u     16.33  16.38  0.03 
58300.3247 RATIR    r     16.78  16.78  0.03 
58300.3249 RATIR    g     16.55  16.55  0.03 
58300.3249 RATIR    i     16.84  16.84  0.03 
58300.3336 P48      r     16.73  16.73  0.04 ZTF
58300.6233 UVOT     UVU   15.37  16.39  0.05 
58300.6410 UVOT     UVW2  15.03  16.86  0.07 
58300.6512 UVOT     UVW1  14.97  16.50  0.06 
58300.6603 UVOT     UVM2  15.10  16.79  0.06 
58300.9067 IOI      H     16.03  17.41  0.03 
58300.9114 IOO      z     16.89  16.87  0.03 
58300.9120 IOO      i     16.89  16.89  0.03 
58300.9127 IOO      r     16.85  16.85  0.03 
58300.9133 IOO      g     16.61  16.61  0.03 
58300.9142 IOO      u     16.43  16.48  0.03 
58300.9152 IOO      V     16.72  16.70  0.03 
58300.9158 IOO      B     16.70  16.56  0.03 
58301.1676 WIRC     Ks    15.68  17.52  0.03 
58301.1833 WIRC     H     16.06  17.44  0.03 
58301.1967 WIRC     J     16.42  17.32  0.03 
58301.2077 RATIR    i     16.96  16.96  0.03 
58301.2077 RATIR    g     16.66  16.66  0.03 
58301.2081 RATIR    r     16.89  16.89  0.03 
58301.3219 RATIR    r     16.89  16.89  0.03 
58301.3223 RATIR    i     16.98  16.98  0.03 
58301.3227 RATIR    g     16.70  16.70  0.03 
58301.6483 UVOT     UVW2  15.26  17.10  0.07 
58301.7902 UVOT     UVW1  15.31  16.84  0.06 
58301.7919 UVOT     UVU   15.60  16.62  0.06 
58301.7936 UVOT     UVW2  15.35  17.18  0.07 
58301.8010 UVOT     UVM2  15.41  17.11  0.06 
58301.8974 IOI      H     16.19  17.57  0.03 
58301.9021 IOO      z     17.06  17.04  0.03 
58301.9028 IOO      i     17.07  17.07  0.03 
58301.9034 IOO      r     17.03  17.03  0.03 
58301.9040 IOO      g     16.79  16.79  0.03 
58301.9049 IOO      u     16.62  16.67  0.03 
58301.9059 IOO      V     16.92  16.90  0.03 
58301.9065 IOO      B     16.89  16.75  0.03 
58302.0430 UVOT     UVW1  15.39  16.91  0.06 
58302.0436 UVOT     UVU   15.61  16.63  0.06 
58302.0465 UVOT     UVW2  15.41  17.24  0.07 
58302.0491 UVOT     UVM2  15.40  17.09  0.06 
58302.1568 KPED     g     16.88  16.88  0.03 
58302.1586 KPED     r     17.11  17.11  0.03 
58302.1669 KPED     U     15.90  16.59  0.06 
58302.2014 RATIR    i     17.18  17.18  0.03 
58302.2014 RATIR    g     16.88  16.88  0.03 
58302.2019 RATIR    r     17.13  17.13  0.03 
58302.2747 P60      r     17.09  17.09  0.03 
58302.2813 RATIR    i     17.18  17.18  0.03 
58302.2813 RATIR    g     16.89  16.89  0.03 
58302.2817 RATIR    r     17.15  17.15  0.03 
58302.3064 P60      r     17.22  17.22  0.03 
58302.3085 P60      g     16.93  16.93  0.03 
58302.3106 P60      i     17.14  17.14  0.03 
58302.3147 P60      u     16.72  16.77  0.03 
58302.3838 UVOT     UVM2  15.51  17.20  0.07 
58302.3999 UVOT     UVW2  15.49  17.33  0.08 
58302.6214 ASTROSAT F172  17.49  17.49  0.08 
58302.7375 ASTROSAT F172  17.46  17.46  0.05 
58302.8299 ASTROSAT F172  17.50  17.50  0.16 
58302.8871 IOI      H     16.19  17.57  0.03 
58302.8917 IOO      z     17.23  17.21  0.03 
58302.8924 IOO      i     17.27  17.27  0.03 
58302.8930 IOO      r     17.28  17.28  0.03 
58302.8936 IOO      g     16.99  16.99  0.03 
58302.8946 IOO      u     16.80  16.85  0.06 
58302.8955 IOO      V     17.13  17.11  0.03 
58302.8961 IOO      B     17.11  16.97  0.03 
58303.1742 UVOT     UVW1  15.57  17.10  0.06 
58303.1792 P60      r     17.29  17.29  0.03 
58303.1956 MLO      R     17.18  17.35  0.03 
58303.1981 MLO      I     16.89  17.33  0.04 
58303.2014 MLO      U     16.15  16.84  0.03 
58303.2044 MLO      B     17.13  16.99  0.04 
58303.2108 P60      r     17.31  17.31  0.03 
58303.2129 P60      g     17.03  17.03  0.03 
58303.2150 P60      i     17.31  17.31  0.03 
58303.2191 P60      u     16.83  16.88  0.03 
58303.2577 UVOT     UVW2  15.81  17.64  0.09 
58303.2984 P48      r     17.29  17.29  0.04 ZTF
58303.7814 UVOT     UVW1  15.69  17.22  0.07 
58303.7829 UVOT     UVU   15.85  16.88  0.06 
58303.7865 UVOT     UVW2  15.83  17.66  0.07 
58303.7910 UVOT     UVM2  15.84  17.53  0.07 
58303.8998 IOI      H     16.06  17.44  0.03 
58303.9044 IOO      z     17.23  17.21  0.03 
58303.9050 IOO      i     17.33  17.33  0.03 
58303.9057 IOO      r     17.32  17.32  0.03 
58303.9063 IOO      g     17.09  17.09  0.03 
58303.9072 IOO      u     16.91  16.96  0.03 
58303.9082 IOO      V     17.20  17.18  0.03 
58303.9088 IOO      B     17.17  17.03  0.03 
58304.1707 UVOT     UVU   15.95  16.98  0.06 
58304.1834 UVOT     UVW2  15.83  17.66  0.08 
58304.2527 P60      r     17.28  17.28  0.03 
58304.2844 P60      r     17.31  17.31  0.03 
58304.2865 P60      g     17.10  17.10  0.03 
58304.2885 P60      i     17.28  17.28  0.03 
58304.2927 P60      u     16.90  16.95  0.03 
58304.3141 RATIR    i     17.32  17.32  0.03 
58304.3141 RATIR    g     17.11  17.11  0.03 
58304.3146 RATIR    r     17.30  17.30  0.03 
58304.3869 RATIR    i     17.30  17.30  0.03 
58304.3874 RATIR    r     17.30  17.30  0.03 
58304.7988 HFOSC    R     17.15  17.32  0.03 
58304.8045 HFOSC    I     16.80  17.24  0.03 
58304.8103 HFOSC    V     17.21  17.19  0.03 
58304.8177 HFOSC    B     17.16  17.02  0.03 
58305.1713 UVOT     UVW2  15.84  17.68  0.07 
58305.2005 MLO      R     17.19  17.36  0.03 
58305.2028 MLO      I     16.94  17.37  0.05 
58305.2059 MLO      U     16.28  16.97  0.03 
